ds,global_passengers
1949-01-01,112000000
1949-02-01,118000000
1949-03-01,132000000
1949-04-01,129000000
1949-05-01,121000000
1949-06-01,135000000
1949-07-01,148000000
1949-08-01,148000000
1949-09-01,136000000
1949-10-01,119000000
1949-11-01,104000000
1949-12-01,118000000
1950-01-01,115000000
1950-02-01,126000000
1950-03-01,141000000
1950-04-01,135000000
1950-05-01,125000000
1950-06-01,149000000
1950-07-01,170000000
1950-08-01,170000000
1950-09-01,158000000
1950-10-01,133000000
1950-11-01,114000000
1950-12-01,140000000
1951-01-01,145000000
1951-02-01,150000000
1951-03-01,178000000
1951-04-01,163000000
1951-05-01,172000000
1951-06-01,178000000
1951-07-01,199000000
1951-08-01,199000000
1951-09-01,184000000
1951-10-01,162000000
1951-11-01,146000000
1951-12-01,166000000
1952-01-01,171000000
1952-02-01,180000000
1952-03-01,193000000
1952-04-01,181000000
1952-05-01,183000000
1952-06-01,218000000
1952-07-01,230000000
1952-08-01,242000000
1952-09-01,209000000
1952-10-01,191000000
1952-11-01,172000000
1952-12-01,194000000
1953-01-01,196000000
1953-02-01,196000000
1953-03-01,236000000
1953-04-01,235000000
1953-05-01,229000000
1953-06-01,243000000
1953-07-01,264000000
1953-08-01,272000000
1953-09-01,237000000
1953-10-01,211000000
1953-11-01,180000000
1953-12-01,201000000
1954-01-01,204000000
1954-02-01,188000000
1954-03-01,235000000
1954-04-01,227000000
1954-05-01,234000000
1954-06-01,264000000
1954-07-01,302000000
1954-08-01,293000000
1954-09-01,259000000
1954-10-01,229000000
1954-11-01,203000000
1954-12-01,229000000
1955-01-01,242000000
1955-02-01,233000000
1955-03-01,267000000
1955-04-01,269000000
1955-05-01,270000000
1955-06-01,315000000
1955-07-01,364000000
1955-08-01,347000000
1955-09-01,312000000
1955-10-01,274000000
1955-11-01,237000000
1955-12-01,278000000
1956-01-01,284000000
1956-02-01,277000000
1956-03-01,317000000
1956-04-01,313000000
1956-05-01,318000000
1956-06-01,374000000
1956-07-01,413000000
1956-08-01,405000000
1956-09-01,355000000
1956-10-01,306000000
1956-11-01,271000000
1956-12-01,306000000
1957-01-01,315000000
1957-02-01,301000000
1957-03-01,356000000
1957-04-01,348000000
1957-05-01,355000000
1957-06-01,422000000
1957-07-01,465000000
1957-08-01,467000000
1957-09-01,404000000
1957-10-01,347000000
1957-11-01,305000000
1957-12-01,336000000
1958-01-01,340000000
1958-02-01,318000000
1958-03-01,362000000
1958-04-01,348000000
1958-05-01,363000000
1958-06-01,435000000
1958-07-01,491000000
1958-08-01,505000000
1958-09-01,404000000
1958-10-01,359000000
1958-11-01,310000000
1958-12-01,337000000
1959-01-01,360000000
1959-02-01,342000000
1959-03-01,406000000
1959-04-01,396000000
1959-05-01,420000000
1959-06-01,472000000
1959-07-01,548000000
1959-08-01,559000000
1959-09-01,463000000
1959-10-01,407000000
1959-11-01,362000000
1959-12-01,405000000
1960-01-01,417000000
1960-02-01,391000000
1960-03-01,419000000
1960-04-01,461000000
1960-05-01,472000000
1960-06-01,535000000
1960-07-01,622000000
1960-08-01,606000000
1960-09-01,508000000
1960-10-01,461000000
1960-11-01,390000000
1960-12-01,432000000